DEBUG 2024-06-13 13:04:03,577 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\socket.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,577 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1716872759.1249194
DEBUG 2024-06-13 13:04:03,577 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\urllib\response.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,577 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\http\__init__.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,577 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\static.py first seen with mtime 1716872759.430989
DEBUG 2024-06-13 13:04:03,578 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\struct.py first seen with mtime 1707217818.0
DEBUG 2024-06-13 13:04:03,578 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\manager.py first seen with mtime 1716872759.0979238
DEBUG 2024-06-13 13:04:03,578 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1716872759.4499907
DEBUG 2024-06-13 13:04:03,578 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1716872757.4225314
DEBUG 2024-06-13 13:04:03,578 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\utils.py first seen with mtime 1716872759.1059241
DEBUG 2024-06-13 13:04:03,579 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1716872758.8008463
DEBUG 2024-06-13 13:04:03,579 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1716872758.804847
DEBUG 2024-06-13 13:04:03,579 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1716872759.07991
DEBUG 2024-06-13 13:04:03,579 autoreload 30028 30268 File C:\Users\Hugo\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1707217818.0
